timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
17615495,17606668,197388,0.20365334,-0.080594495,0.42859453,0
17639511,17632593,197388,0.2043877,-0.079021916,0.4286411,0
17663498,17654782,197388,0.19944972,-0.07907733,0.4290905,0
17687498,17680790,197388,0.20218062,-0.07934192,0.43232167,0
17711504,17704903,197388,0.20529327,-0.08020741,0.43062282,0
17735495,17728952,197388,0.20548719,-0.08122297,0.43439054,0
17759505,17752999,197388,0.20266809,-0.08451526,0.42837805,0
17783504,17776857,197388,0.19803357,-0.08101772,0.42891505,0
17807506,17800859,197388,0.19942206,-0.08058435,0.42754793,0
17831491,17824942,197388,0.20080277,-0.08734363,0.4311328,0
17855504,17847049,197388,0.20581333,-0.07836959,0.43020368,0
17879510,17871120,197388,0.19982335,-0.08102121,0.4305073,0
17903491,17896835,197388,0.20163566,-0.08037059,0.42616493,0
17927505,17918652,197388,0.20133018,-0.08014397,0.43038702,0
17951504,17944684,197388,0.20278144,-0.080184385,0.43033302,0
17975504,17968661,197388,0.19945917,-0.08006893,0.43151718,0
17999501,17992633,197388,0.20213795,-0.08540483,0.42825344,0
18023491,18014834,197388,0.2008199,-0.082341045,0.43068758,0
18047499,18040903,197388,0.20243955,-0.079940364,0.4282779,0
18074502,18065291,197388,0.19835559,-0.08164106,0.4307963,0
18107506,18092490,197388,0.19932234,-0.08134919,0.42887205,0
18131508,18125151,197388,0.20314804,-0.0828716,0.42882356,0
18155506,18149103,197388,0.20084652,-0.079655975,0.4311564,0
18176495,18171225,197388,0.19630368,-0.083507285,0.42956424,0
18206501,18197711,197388,0.20127167,-0.08431236,0.426888,0
18230504,18221774,197388,0.2016519,-0.083050996,0.43308756,0
18266487,18250546,197388,0.20441666,-0.079973206,0.4268589,0
18290485,18280162,197388,0.19917144,-0.08176249,0.42832255,0
18314491,18305884,197388,0.20385778,-0.08183125,0.4342096,0
18338488,18327836,197388,0.1993727,-0.08419454,0.42651272,0
18362494,18353798,197388,0.20177546,-0.08115959,0.43041122,0
18386496,18377758,197388,0.20342824,-0.08422065,0.43079987,0
18410507,18401919,197388,0.20298515,-0.08192648,0.42990085,0
18434508,18423890,197388,0.20171177,-0.08135459,0.4303678,0
18458489,18449864,197388,0.20211625,-0.08218771,0.428383,0
18482494,18473791,197388,0.20143788,-0.07875043,0.43305844,0
18506497,18497756,197388,0.20097998,-0.08115102,0.42888927,0
18530501,18521904,197388,0.20140815,-0.081070766,0.43340528,0
18554494,18543720,197388,0.20230979,-0.083604485,0.43133748,0
18578504,18569780,197388,0.20153941,-0.07980712,0.4298669,0
18602498,18593896,197388,0.19899526,-0.081614174,0.43068272,0
18626485,18617803,197388,0.19828647,-0.077341795,0.43106353,0
18650497,18641869,197388,0.20044209,-0.07993817,0.429431,0
18674494,18665788,197388,0.20460528,-0.08144222,0.42804313,0
18698486,18689859,197388,0.1959267,-0.08674184,0.42857325,0
18722494,18713863,197388,0.20048523,-0.08344006,0.42771637,0
18746504,18736069,197388,0.20539087,-0.08635254,0.42807192,0
18770497,18760041,197388,0.19911034,-0.08364645,0.42926216,0
18794491,18785857,197388,0.19889972,-0.086032525,0.42956418,0
18818498,18810011,197388,0.20011824,-0.07981704,0.4256591,0
18842491,18834033,197388,0.19958895,-0.08054205,0.4270806,0
18866497,18858117,197388,0.20142308,-0.08433137,0.42340118,0
18890497,18882157,197388,0.19886574,-0.08312832,0.4285652,0
18914503,18906319,197388,0.19699451,-0.08528212,0.4273829,0
18938485,18930892,197388,0.20139599,-0.082797185,0.4304222,0
18962494,18954819,197388,0.19860873,-0.082691416,0.42873967,0
18986500,18978842,197388,0.1977962,-0.08101128,0.42732257,0
19010486,19002879,197388,0.20311268,-0.07976776,0.4299908,0
19034503,19026926,197388,0.20238663,-0.08248465,0.42821574,0
19058486,19048942,197388,0.20198447,-0.08376674,0.4308151,0
19082499,19074882,197388,0.19855583,-0.08320472,0.4322203,0
19106489,19098902,197388,0.20000403,-0.08108835,0.4319641,0
19130497,19123054,197388,0.20038378,-0.08343356,0.42730588,0
19154492,19146896,197388,0.19859102,-0.08139162,0.42820045,0
19178485,19170947,197388,0.20085074,-0.076132745,0.43114358,0
19202496,19194891,197388,0.20217134,-0.08249431,0.43109924,0
19226485,19219185,197388,0.20375353,-0.083249405,0.42698526,0
19250491,19242958,197388,0.20152096,-0.07947112,0.4309268,0
19274495,19267004,197388,0.19707376,-0.08208896,0.43288997,0
19298496,19289356,197388,0.20024171,-0.0829142,0.4298926,0
19322494,19315122,197388,0.20284899,-0.078292206,0.42664436,0
19346489,19339245,197388,0.20172068,-0.07805551,0.4274513,0
19370497,19363211,197388,0.19695042,-0.07815903,0.42407733,0
19394492,19387686,197388,0.20150913,-0.08137521,0.42840463,0
19418493,19411527,197388,0.19717991,-0.0820381,0.43111402,0
19442494,19436160,197388,0.20091555,-0.08193722,0.42947048,0
19466485,19459880,197388,0.19666824,-0.08187474,0.42544684,0
19490497,19484268,197388,0.20471294,-0.08379917,0.43046525,0
19514494,19507940,197388,0.20328453,-0.07662605,0.43549678,0
19538484,19531944,197388,0.20228985,-0.07715059,0.4281348,0
19562492,19554252,197388,0.20149839,-0.08396247,0.43157455,0
19586502,19580198,197388,0.1971313,-0.08472842,0.42702317,0
19610486,19604501,197388,0.19956431,-0.08853243,0.42272186,0
19634494,19628264,197388,0.20367894,-0.08653861,0.43089497,0
19661501,19652744,197388,0.20369941,-0.08412942,0.43128085,0
19685511,19674725,197388,0.20140025,-0.081757165,0.42997497,0
19709505,19700799,197388,0.20541877,-0.08412777,0.42606217,0
19733517,19724918,197388,0.2040934,-0.08505753,0.43093067,0
19757508,19749084,197388,0.19953898,-0.08491287,0.43269286,0
19781499,19772940,197388,0.20503774,-0.08655925,0.42163736,0
19805510,19796968,197388,0.20459124,-0.08180888,0.42727184,0
19829515,19820863,197388,0.2037966,-0.08153722,0.42545968,0
19853502,19845125,197388,0.2008804,-0.080743685,0.42975068,0
19877504,19869028,197388,0.19938925,-0.08556503,0.4282171,0
19901505,19892927,197388,0.20414785,-0.08352618,0.4274232,0
19925501,19916903,197388,0.20382936,-0.08811394,0.42796528,0
19949505,19941110,197388,0.2044673,-0.07920244,0.4321278,0
19973510,19965047,197388,0.20220427,-0.08561539,0.42878127,0
19997508,19988859,197388,0.19970849,-0.08580726,0.42738545,0
20021504,20013105,197388,0.20118329,-0.07953423,0.42353338,0
20045510,20035228,197388,0.20433667,-0.08055068,0.4266997,0
20069511,20061563,197388,0.19939777,-0.07882999,0.4249528,0
20093501,20085963,197388,0.20057772,-0.08204779,0.43205982,0
20117509,20109889,197388,0.204245,-0.08096242,0.4315359,0
20141501,20133910,197388,0.20012763,-0.081250116,0.4270125,0
20165503,20158050,197388,0.2012277,-0.08325997,0.4306332,0
20189508,20182015,197388,0.19997421,-0.0810583,0.42853725,0
20213510,20205953,197388,0.2026997,-0.08438659,0.42994425,0
20237511,20229987,197388,0.2002216,-0.0837657,0.42699623,0
20261510,20254063,197388,0.20215961,-0.0784169,0.4281281,0
20285499,20278049,197388,0.20344603,-0.08035861,0.4293561,0
20309508,20302068,197388,0.20130378,-0.07835603,0.43473017,0
20333498,20326061,197388,0.19939575,-0.07899826,0.43206567,0
20357505,20350119,197388,0.19940266,-0.07893655,0.42997482,0
20381498,20372050,197388,0.20119396,-0.07994446,0.42791146,0
20405518,20398060,197388,0.19992113,-0.07967265,0.4295203,0
20429509,20422043,197388,0.20225428,-0.07797764,0.4326676,0
20453511,20446020,197388,0.2006506,-0.07711594,0.42561892,0
20477517,20468035,197388,0.19898182,-0.07913084,0.42724848,0
20501498,20494125,197388,0.20274228,-0.07923859,0.42994624,0
20525498,20516063,197388,0.2013959,-0.07808327,0.43254614,0
20549505,20540118,197388,0.20345801,-0.07581541,0.42675412,0
20573517,20566030,197388,0.20094115,-0.08327574,0.43108013,0
20597511,20590099,197388,0.20296639,-0.07435915,0.43473142,0
20621498,20613899,197388,0.20296851,-0.077589154,0.43352973,0
20645511,20637923,197388,0.20196036,-0.07655444,0.42915624,0
20669504,20661907,197388,0.19665594,-0.07877153,0.4352666,0
20693501,20685916,197388,0.2039054,-0.08012081,0.42558447,0
20717508,20709914,197388,0.20307627,-0.07933365,0.42806828,0
20741511,20733895,197388,0.20011002,-0.07549915,0.4304132,0
20765502,20757910,197388,0.19621871,-0.080292016,0.4276278,0
20789505,20781905,197388,0.19869262,-0.08215767,0.43196952,0
20813504,20806040,197388,0.2007494,-0.080379665,0.43106142,0
20837505,20830028,197388,0.20328453,-0.0779168,0.42629236,0
20861511,20852193,197388,0.1951396,-0.075811476,0.4262304,0
20885510,20878259,197388,0.20045954,-0.078384824,0.42572266,0
20909519,20902801,197388,0.20257752,-0.08063838,0.42790616,0
20933524,20926950,197388,0.19838661,-0.0823667,0.43277133,0
20957505,20951071,197388,0.20492199,-0.07743331,0.43075413,0
20981498,20975095,197388,0.20346245,-0.078250036,0.43400073,0
21005498,20999214,197388,0.19617946,-0.07918871,0.43125576,0
21029517,21023153,197388,0.19852674,-0.07268952,0.4283875,0
21053510,21047199,197388,0.19945605,-0.076393954,0.4252934,0
21077511,21071181,197388,0.20203888,-0.0799293,0.431559,0
21101498,21095115,197388,0.20253935,-0.08053881,0.42968655,0
21125511,21119128,197388,0.20151064,-0.07868765,0.429238,0
21149507,21143117,197388,0.20345262,-0.077059716,0.43400717,0
21173501,21167175,197388,0.19519234,-0.07427591,0.42794052,0
21197521,21191129,197388,0.20186186,-0.08043277,0.42807996,0
21221510,21215110,197388,0.19861859,-0.07956052,0.43125498,0
21245509,21239103,197388,0.20136043,-0.08079556,0.42801338,0
21269519,21263093,197388,0.20005786,-0.07498625,0.42940378,0
21293499,21287181,197388,0.2027234,-0.07714936,0.43631124,0
21317505,21311082,197388,0.1967722,-0.08319092,0.42711234,0
21341494,21335112,197388,0.20140287,-0.08611548,0.42687637,0
21365498,21359165,197388,0.19948284,-0.07622266,0.43492234,0
21389525,21383144,197388,0.20121142,-0.07415655,0.4298805,0
21413508,21405257,197388,0.1990059,-0.08037937,0.42667913,0
