timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
15149485,15124079,6620172,487.61102,11.832733,95603.64,1.1359293
15254495,15212962,6620172,487.67706,11.832733,95602.87,1.1359202
15677447,15654165,6620172,487.6295,11.832733,95603.44,1.135927
15752510,15725734,6620172,487.66122,11.832733,95603.055,1.1359224
15803476,15788421,6620172,487.69028,11.832733,95602.74,1.1359187
15869509,15845570,6620172,487.67178,11.832733,95602.96,1.1359214
15920487,15905923,6620172,487.68234,11.832733,95602.83,1.1359198
15992488,15966627,6620172,487.64536,11.832733,95603.25,1.1359248
16064498,16038644,6620172,487.6427,11.832733,95603.3,1.1359253
16136488,16110792,6620172,487.64008,11.832733,95603.32,1.1359257
16208487,16182694,6620172,487.69028,11.832733,95602.734,1.1359186
16280487,16254628,6620172,487.57928,11.832733,95604.01,1.1359338
16352489,16326621,6620172,487.5846,11.832733,95603.96,1.1359332
16424485,16398777,6620172,487.62158,11.832733,95603.53,1.1359282
16496482,16469694,6620172,487.46832,11.832733,95605.29,1.135949
16568489,16543472,6620172,487.50003,11.832733,95604.9,1.1359444
16640475,16615700,6620172,487.59515,11.832733,95603.836,1.1359317
16712482,16687992,6620172,487.53702,11.832733,95604.49,1.1359396
16787494,16760428,6620172,487.67178,11.832733,95602.96,1.1359214
16859498,16833031,6620172,487.63214,11.832733,95603.4,1.1359265
16931488,16905001,6620172,487.6665,11.832733,95603.0,1.1359217
17003495,16977028,6620172,487.6427,11.832733,95603.3,1.1359253
17075479,17049060,6620172,487.66388,11.832733,95603.03,1.1359222
17147494,17121574,6620172,487.61365,11.832733,95603.61,1.135929
17219495,17194192,6620172,487.63477,11.832733,95603.39,1.1359265
17291475,17266204,6620172,487.64536,11.832733,95603.25,1.1359248
17363483,17338647,6620172,487.65594,11.832733,95603.125,1.1359233
17435475,17410697,6620172,487.64798,11.832733,95603.22,1.1359243
17507492,17482737,6620172,487.57135,11.832733,95604.086,1.1359347
17579494,17554571,6620172,487.67972,11.832733,95602.86,1.13592
17651479,17626700,6620172,487.63477,11.832733,95603.37,1.1359261
17723488,17698776,6620172,487.7352,11.832733,95602.22,1.1359125
17795496,17770978,6620172,487.67178,11.832733,95602.93,1.1359209
17864491,17841687,6620172,487.57663,11.832733,95604.03,1.135934
17915488,17902836,6620172,487.63742,11.832733,95603.34,1.1359259
17987483,17962664,6620172,487.53967,11.832733,95604.46,1.1359391
18059494,18034809,6620172,487.6427,11.832733,95603.29,1.1359252
18131475,18105849,6620172,487.6665,11.832733,95603.02,1.1359221
18206469,18179355,6620172,487.6295,11.832733,95603.445,1.1359271
18278470,18251894,6620172,487.7114,11.832733,95602.49,1.1359158
18350473,18323867,6620172,487.6427,11.832733,95603.29,1.1359252
18422478,18395862,6620172,487.63742,11.832733,95603.36,1.135926
18494495,18467774,6620172,487.59515,11.832733,95603.83,1.1359316
18566481,18539841,6620172,487.60574,11.832733,95603.71,1.1359303
18638481,18611867,6620172,487.65594,11.832733,95603.14,1.1359234
18710481,18683876,6620172,487.64008,11.832733,95603.305,1.1359254
18782475,18754551,6620172,487.66122,11.832733,95603.07,1.1359226
18854482,18828049,6620172,487.64536,11.832733,95603.266,1.1359249
18926469,18900486,6620172,487.71667,11.832733,95602.44,1.135915
18998479,18972867,6620172,487.67178,11.832733,95602.945,1.1359211
19070472,19044982,6620172,487.67972,11.832733,95602.86,1.13592
19142478,19116925,6620172,487.58197,11.832733,95603.98,1.1359334
19214487,19188815,6620172,487.5846,11.832733,95603.94,1.1359329
19286481,19260947,6620172,487.56607,11.832733,95604.14,1.1359354
19358481,19333135,6620172,487.61893,11.832733,95603.56,1.1359285
19433478,19405730,6620172,487.66122,11.832733,95603.055,1.1359224
19502488,19477952,6620172,487.67706,11.832703,95602.875,1.1359203
19553495,19538231,6620172,487.57928,11.832703,95604.0,1.1359336
19622478,19598379,6620172,487.64008,11.832703,95603.33,1.1359257
19673485,19658750,6620172,487.7854,11.832672,95601.65,1.1359057
