timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
15749837,-0.0025635262,-0.0028347282,-0.0039173965,4216,0,-0.003874381,-0.031013746,-9.7825775,4216,0
15754590,0.0023152304,-0.0034311628,0.0014005746,4753,0,0.007810484,-0.0029829699,-9.775742,4753,0
15757652,-6.080191e-05,-0.0009470421,0.00025395976,3062,0,0.0087157115,-0.031299092,-9.797798,3062,0
15762567,-0.0011013683,0.0016752012,0.0005684269,4915,0,0.00095090177,-0.03322759,-9.774278,4915,0
15765363,-0.0007719534,0.0010782118,0.0023791513,2796,0,0.008091826,-0.014900084,-9.757492,2796,0
15769594,-0.0030340496,0.00063140935,-0.00047628512,4231,0,0.017447408,-0.018406397,-9.77644,4231,0
15774656,-0.0014722246,0.0021427919,-0.0027381233,5062,0,0.030875424,0.015420348,-9.789873,5062,0
15777287,-0.004325879,-0.00020772322,0.00022156823,2631,0,0.030929303,0.020377537,-9.79258,2631,0
15781763,-0.0027330404,0.00048058355,0.0020530524,4476,0,0.059754986,-0.0009999352,-9.7685585,4476,0
15786586,0.0011991429,0.0036016186,0.0014389314,4823,0,0.040085547,-0.01866518,-9.799916,4823,0
15789748,0.00014750993,0.0037959416,0.0032550797,3162,0,0.00017522297,0.0014446173,-9.81161,3162,0
15793628,0.00046408072,-0.0017954566,0.0023198214,3880,0,0.033998407,-0.023248564,-9.788632,3880,0
15802187,-0.0011472555,-0.0035007123,-0.000593179,8559,0,0.027434826,-0.08438194,-9.788406,8559,0
15802322,-0.0025938135,-0.0009671171,-0.0016589602,135,0,-0.006159565,-0.048144564,-9.791749,135,0
15805363,-0.0028165188,-0.0011160901,-0.0010743858,3041,0,0.012803558,-0.016232938,-9.802864,3041,0
15809322,-0.0006130468,-0.00094854104,0.0003344089,3959,0,0.0304472,-0.018381333,-9.816183,3959,0
15813319,0.0017308182,-0.00063695735,0.0017448284,3997,0,0.030612376,-0.009660927,-9.805147,3997,0
15817314,0.001533579,-0.0010925867,0.0003225494,3995,0,0.0400053,-0.008687112,-9.788366,3995,0
15821347,-0.0012098064,-0.00011561192,0.00012994095,4033,0,0.046289228,-0.051784553,-9.831184,4033,0
15826118,-0.001018066,0.0022963414,0.0026995048,4771,0,0.024830919,-0.049385093,-9.822053,4771,0
15829789,0.0022620494,-0.00025583722,0.0017315126,3671,0,0.014575068,-0.027444338,-9.770393,3671,0
15834754,0.002519799,-0.0024393462,0.000800324,4965,0,0.006608591,-0.03558165,-9.762369,4965,0
15837745,0.0018985192,-0.0016673837,0.0005010081,2991,0,-0.008513251,-0.0332797,-9.789207,2991,0
15842281,0.0012305297,-0.0038974755,9.1625025e-06,4536,0,0.012753328,-0.03704954,-9.823496,4536,0
15846031,-0.0005282224,-0.0011186016,0.002513568,3750,0,0.014138291,-0.021984067,-9.841898,3750,0
15850526,-0.0030860952,0.00059842155,0.0023736139,4495,0,0.01376809,-0.011524762,-9.843614,4495,0
15853667,-0.002463694,-0.0022264419,0.0013503005,3141,0,0.01786456,-0.0327252,-9.821874,3141,0
15858548,0.0011358825,-0.0032523803,-0.00044775495,4881,0,0.0030763005,-0.04769236,-9.776403,4881,0
15861353,0.0016977106,-0.0017677932,-0.00065832894,2805,0,0.014758302,-0.044279844,-9.785029,2805,0
